epoch,error,weights
119,2,"[-1.2, -11.339999999999979, -8.580000000000016, 15.599999999999945, 12.460000000000058]"
120,2,"[-1.2, -11.359999999999978, -8.680000000000017, 15.659999999999943, 12.480000000000059]"
121,2,"[-1.2, -11.379999999999978, -8.780000000000019, 15.719999999999942, 12.50000000000006]"
122,2,"[-1.2, -11.399999999999977, -8.88000000000002, 15.77999999999994, 12.520000000000062]"
123,2,"[-1.2, -11.419999999999977, -8.980000000000022, 15.83999999999994, 12.540000000000063]"
124,2,"[-1.2, -11.439999999999976, -9.080000000000023, 15.899999999999938, 12.560000000000064]"
125,2,"[-1.2, -11.459999999999976, -9.180000000000025, 15.959999999999937, 12.580000000000066]"
126,2,"[-1.2, -11.479999999999976, -9.280000000000026, 16.019999999999936, 12.600000000000067]"
127,2,"[-1.2, -11.499999999999975, -9.380000000000027, 16.079999999999934, 12.620000000000068]"
128,2,"[-1.2, -11.519999999999975, -9.480000000000029, 16.139999999999933, 12.64000000000007]"
129,2,"[-1.2, -11.539999999999974, -9.58000000000003, 16.199999999999932, 12.660000000000071]"
130,2,"[-1.2, -11.559999999999974, -9.680000000000032, 16.25999999999993, 12.680000000000073]"
131,2,"[-1.2, -11.579999999999973, -9.780000000000033, 16.31999999999993, 12.700000000000074]"
132,3,"[-1.0, -10.019999999999973, -9.120000000000035, 17.65999999999993, 13.120000000000076]"
133,3,"[-1.2, -11.119999999999973, -9.760000000000035, 16.99999999999993, 12.960000000000075]"
134,4,"[-1.2, -10.959999999999972, -9.580000000000034, 17.219999999999928, 13.160000000000077]"
135,4,"[-1.2, -10.799999999999972, -9.400000000000034, 17.439999999999927, 13.360000000000078]"
136,4,"[-1.2, -10.919999999999973, -9.380000000000035, 17.479999999999926, 13.520000000000078]"
137,4,"[-1.2, -11.039999999999974, -9.360000000000035, 17.519999999999925, 13.680000000000078]"
138,4,"[-1.2, -10.739999999999975, -9.220000000000036, 17.879999999999924, 13.800000000000079]"
139,3,"[-1.4, -11.779999999999974, -9.900000000000038, 17.199999999999925, 13.560000000000079]"
140,2,"[-1.4, -11.479999999999974, -9.900000000000038, 17.479999999999926, 13.680000000000078]"
141,4,"[-1.4, -11.319999999999972, -9.720000000000038, 17.699999999999925, 13.880000000000079]"
142,4,"[-1.4, -11.159999999999972, -9.540000000000038, 17.919999999999924, 14.08000000000008]"
143,4,"[-1.4, -11.279999999999973, -9.520000000000039, 17.959999999999923, 14.24000000000008]"
144,4,"[-1.4, -11.399999999999974, -9.500000000000039, 17.999999999999922, 14.40000000000008]"
145,4,"[-1.4, -11.519999999999975, -9.48000000000004, 18.03999999999992, 14.56000000000008]"
146,4,"[-1.4, -11.059999999999974, -9.280000000000042, 18.57999999999992, 14.720000000000082]"
147,3,"[-1.5999999999999999, -12.039999999999974, -9.920000000000043, 17.959999999999923, 14.54000000000008]"
148,4,"[-1.5999999999999999, -11.879999999999974, -9.740000000000041, 18.17999999999992, 14.740000000000082]"
149,4,"[-1.5999999999999999, -11.719999999999974, -9.560000000000041, 18.39999999999992, 14.940000000000083]"
150,4,"[-1.5999999999999999, -11.839999999999975, -9.540000000000042, 18.43999999999992, 15.100000000000083]"
151,4,"[-1.5999999999999999, -11.959999999999976, -9.520000000000042, 18.47999999999992, 15.260000000000083]"
152,3,"[-1.7999999999999998, -13.079999999999975, -10.080000000000044, 17.739999999999917, 15.020000000000085]"
153,2,"[-1.7999999999999998, -13.099999999999975, -10.180000000000046, 17.799999999999915, 15.040000000000086]"
154,3,"[-1.5999999999999999, -11.539999999999974, -9.520000000000048, 19.139999999999915, 15.460000000000088]"
155,3,"[-1.7999999999999998, -12.639999999999974, -10.120000000000047, 18.359999999999918, 15.260000000000087]"
156,2,"[-1.7999999999999998, -12.479999999999974, -10.040000000000047, 18.47999999999992, 15.400000000000087]"
157,4,"[-1.7999999999999998, -12.319999999999972, -9.860000000000046, 18.699999999999918, 15.600000000000088]"
158,4,"[-1.7999999999999998, -12.159999999999972, -9.680000000000046, 18.919999999999916, 15.80000000000009]"
159,4,"[-1.7999999999999998, -12.279999999999973, -9.660000000000046, 18.959999999999916, 15.96000000000009]"
160,4,"[-1.7999999999999998, -12.399999999999974, -9.640000000000047, 18.999999999999915, 16.12000000000009]"
161,4,"[-1.7999999999999998, -12.519999999999975, -9.620000000000047, 19.039999999999914, 16.28000000000009]"
162,3,"[-1.9999999999999998, -13.379999999999974, -10.120000000000049, 18.459999999999912, 16.08000000000009]"
163,2,"[-1.9999999999999998, -13.139999999999974, -10.16000000000005, 18.67999999999991, 16.140000000000093]"
164,2,"[-1.9999999999999998, -12.959999999999972, -10.120000000000049, 18.799999999999912, 16.24000000000009]"
165,4,"[-1.9999999999999998, -12.839999999999971, -10.040000000000049, 18.919999999999913, 16.44000000000009]"
166,4,"[-1.9999999999999998, -12.679999999999971, -9.86000000000005, 19.13999999999991, 16.640000000000086]"
167,3,"[-2.1999999999999997, -13.53999999999997, -10.360000000000051, 18.55999999999991, 16.440000000000087]"
168,2,"[-2.1999999999999997, -13.29999999999997, -10.400000000000052, 18.77999999999991, 16.50000000000009]"
169,2,"[-2.1999999999999997, -13.119999999999969, -10.360000000000051, 18.89999999999991, 16.600000000000087]"
170,4,"[-2.1999999999999997, -12.999999999999968, -10.28000000000005, 19.01999999999991, 16.800000000000082]"
