epoch,error,weights
20,2,"[-0.10000000000000003, -3.640000000000004, -0.5400000000000015, 5.260000000000003, 4.62]"
21,2,"[-0.10000000000000003, -3.8800000000000043, -0.6400000000000015, 5.340000000000003, 4.72]"
22,2,"[-0.10000000000000003, -4.020000000000005, -0.6200000000000015, 5.600000000000003, 4.9399999999999995]"
23,2,"[-0.10000000000000003, -4.260000000000005, -0.7200000000000015, 5.680000000000003, 5.039999999999999]"
24,2,"[-0.10000000000000003, -4.400000000000006, -0.7000000000000016, 5.940000000000003, 5.259999999999999]"
25,2,"[-0.10000000000000003, -4.640000000000006, -0.8000000000000016, 6.020000000000003, 5.3599999999999985]"
26,2,"[-0.10000000000000003, -4.880000000000006, -0.9000000000000017, 6.100000000000003, 5.459999999999998]"
27,2,"[-0.10000000000000003, -4.900000000000007, -0.8800000000000018, 6.400000000000003, 5.659999999999998]"
28,2,"[-0.10000000000000003, -5.140000000000007, -0.9800000000000018, 6.480000000000002, 5.759999999999998]"
29,2,"[-0.10000000000000003, -5.260000000000007, -1.0800000000000018, 6.600000000000001, 5.839999999999998]"
30,2,"[-0.10000000000000003, -5.380000000000007, -1.180000000000002, 6.720000000000001, 5.919999999999998]"
31,2,"[-0.10000000000000003, -5.500000000000007, -1.280000000000002, 6.84, 5.999999999999998]"
32,2,"[-0.10000000000000003, -5.620000000000007, -1.3800000000000021, 6.959999999999999, 6.079999999999998]"
33,2,"[-0.10000000000000003, -5.740000000000007, -1.340000000000002, 7.179999999999999, 6.2799999999999985]"
34,2,"[-0.10000000000000003, -5.860000000000007, -1.4400000000000022, 7.299999999999999, 6.3599999999999985]"
35,2,"[-0.10000000000000003, -5.9800000000000075, -1.5400000000000023, 7.419999999999998, 6.439999999999999]"
36,2,"[-0.10000000000000003, -5.920000000000007, -1.4600000000000022, 7.639999999999999, 6.559999999999999]"
37,2,"[-0.10000000000000003, -6.040000000000007, -1.5600000000000023, 7.759999999999998, 6.639999999999999]"
38,2,"[-0.10000000000000003, -6.160000000000007, -1.6600000000000024, 7.879999999999997, 6.719999999999999]"
39,2,"[-0.10000000000000003, -6.280000000000007, -1.7600000000000025, 7.9999999999999964, 6.799999999999999]"
40,2,"[-0.10000000000000003, -6.4000000000000075, -1.8600000000000025, 8.119999999999996, 6.879999999999999]"
41,2,"[-0.10000000000000003, -6.620000000000007, -1.9400000000000026, 8.159999999999995, 6.959999999999999]"
42,2,"[-0.10000000000000003, -6.560000000000008, -1.8600000000000025, 8.379999999999995, 7.079999999999999]"
43,2,"[-0.10000000000000003, -6.680000000000008, -1.9600000000000026, 8.499999999999995, 7.159999999999999]"
44,2,"[-0.10000000000000003, -6.9000000000000075, -2.0400000000000027, 8.539999999999994, 7.239999999999999]"
45,2,"[-0.10000000000000003, -6.840000000000007, -1.9600000000000026, 8.759999999999994, 7.359999999999999]"
46,2,"[-0.10000000000000003, -6.960000000000008, -2.0600000000000027, 8.879999999999994, 7.4399999999999995]"
47,2,"[-0.10000000000000003, -7.180000000000009, -2.140000000000003, 8.919999999999993, 7.52]"
48,2,"[-0.10000000000000003, -7.120000000000008, -2.0600000000000027, 9.139999999999992, 7.64]"
49,2,"[-0.10000000000000003, -7.240000000000009, -2.160000000000003, 9.259999999999991, 7.72]"
50,2,"[-0.10000000000000003, -7.46000000000001, -2.240000000000003, 9.29999999999999, 7.8]"
51,2,"[-0.10000000000000003, -7.1400000000000095, -2.1000000000000028, 9.679999999999989, 7.96]"
52,2,"[-0.10000000000000003, -7.000000000000009, -2.140000000000003, 9.959999999999988, 8.08]"
53,4,"[-0.09999999999999998, -7.040000000000009, -2.0200000000000027, 10.219999999999988, 8.379999999999999]"
54,4,"[-0.09999999999999998, -6.920000000000008, -2.0400000000000027, 10.679999999999989, 8.559999999999999]"
55,3,"[-0.3, -8.280000000000006, -2.740000000000003, 9.859999999999989, 8.36]"
56,2,"[-0.3, -8.260000000000007, -2.760000000000003, 9.979999999999988, 8.48]"
57,2,"[-0.3, -8.240000000000007, -2.780000000000003, 10.099999999999987, 8.600000000000001]"
58,2,"[-0.3, -8.220000000000008, -2.800000000000003, 10.219999999999986, 8.720000000000002]"
59,2,"[-0.3, -7.9000000000000075, -2.660000000000003, 10.599999999999985, 8.880000000000003]"
