epoch,error,weights
82,4,"[-2.5, 5.82000000000003, -7.679999999999985, -3.4000000000000155, -7.8799999999999955]"
83,4,"[-2.5, 6.04000000000003, -7.499999999999985, -3.7600000000000158, -8.099999999999996]"
84,6,"[-2.5, 6.3200000000000305, -7.299999999999983, -3.600000000000016, -8.139999999999997]"
85,4,"[-2.5, 6.880000000000031, -7.1599999999999815, -3.060000000000016, -7.959999999999996]"
86,4,"[-2.5, 7.280000000000031, -7.239999999999981, -2.700000000000016, -7.919999999999996]"
87,5,"[-2.7, 6.880000000000031, -7.65999999999998, -2.4200000000000164, -7.819999999999996]"
88,5,"[-2.9000000000000004, 5.820000000000031, -8.319999999999979, -3.3200000000000163, -8.139999999999995]"
89,3,"[-2.7, 7.240000000000032, -7.699999999999978, -2.6800000000000166, -8.059999999999995]"
90,5,"[-2.9000000000000004, 6.040000000000034, -8.439999999999976, -3.580000000000017, -8.419999999999995]"
91,3,"[-2.7, 7.560000000000034, -7.699999999999975, -2.760000000000017, -8.219999999999995]"
92,5,"[-2.9000000000000004, 7.160000000000036, -8.119999999999973, -2.480000000000017, -8.119999999999996]"
93,5,"[-3.1000000000000005, 6.100000000000036, -8.779999999999971, -3.3800000000000168, -8.439999999999994]"
94,3,"[-2.9000000000000004, 7.6200000000000365, -8.03999999999997, -2.560000000000017, -8.239999999999995]"
95,5,"[-3.1000000000000005, 7.220000000000038, -8.459999999999969, -2.2800000000000167, -8.139999999999995]"
96,5,"[-3.3000000000000007, 6.140000000000038, -9.039999999999967, -3.240000000000017, -8.519999999999994]"
97,4,"[-3.3000000000000007, 6.460000000000039, -8.739999999999965, -3.4200000000000172, -8.619999999999996]"
98,3,"[-3.1000000000000005, 7.88000000000004, -8.119999999999964, -2.7800000000000176, -8.539999999999996]"
99,5,"[-3.3000000000000007, 7.4800000000000395, -8.53999999999996, -2.5000000000000173, -8.439999999999996]"
100,5,"[-3.500000000000001, 6.460000000000039, -9.099999999999959, -3.4000000000000172, -8.759999999999994]"
101,4,"[-3.500000000000001, 6.780000000000039, -8.799999999999956, -3.5800000000000174, -8.859999999999996]"
102,4,"[-3.500000000000001, 7.00000000000004, -8.619999999999955, -3.9400000000000177, -9.079999999999997]"
103,6,"[-3.500000000000001, 7.22000000000004, -8.459999999999955, -3.8400000000000185, -9.179999999999996]"
104,6,"[-3.500000000000001, 7.500000000000039, -8.259999999999954, -3.680000000000019, -9.219999999999997]"
105,4,"[-3.500000000000001, 8.040000000000038, -8.119999999999951, -3.1400000000000188, -9.059999999999997]"
106,7,"[-3.700000000000001, 7.30000000000004, -8.61999999999995, -3.260000000000019, -9.139999999999997]"
107,4,"[-3.700000000000001, 7.86000000000004, -8.479999999999947, -2.720000000000019, -8.959999999999997]"
108,5,"[-3.9000000000000012, 6.8000000000000425, -9.139999999999946, -3.6200000000000188, -9.279999999999996]"
109,4,"[-3.9000000000000012, 7.120000000000043, -8.839999999999945, -3.800000000000019, -9.379999999999997]"
110,6,"[-3.9000000000000012, 7.1600000000000446, -8.739999999999942, -3.9600000000000195, -9.499999999999998]"
111,6,"[-3.9000000000000012, 7.200000000000044, -8.63999999999994, -4.12000000000002, -9.62]"
112,6,"[-3.9000000000000012, 7.3000000000000425, -8.51999999999994, -4.220000000000019, -9.68]"
113,6,"[-3.9000000000000012, 7.340000000000044, -8.41999999999994, -4.380000000000019, -9.8]"
114,6,"[-3.9000000000000012, 7.440000000000043, -8.299999999999937, -4.480000000000019, -9.860000000000001]"
115,6,"[-3.9000000000000012, 7.500000000000043, -8.319999999999935, -4.480000000000019, -9.92]"
116,6,"[-3.9000000000000012, 7.560000000000045, -8.339999999999932, -4.480000000000019, -9.979999999999999]"
117,6,"[-3.9000000000000012, 7.600000000000043, -8.35999999999993, -4.600000000000019, -9.999999999999998]"
118,6,"[-3.9000000000000012, 7.640000000000042, -8.379999999999928, -4.720000000000019, -10.019999999999998]"
119,6,"[-3.9000000000000012, 7.8400000000000425, -8.299999999999926, -4.74000000000002, -10.059999999999997]"
120,6,"[-3.9000000000000012, 7.860000000000041, -8.319999999999924, -4.86000000000002, -10.099999999999996]"
121,6,"[-3.9000000000000012, 7.880000000000041, -8.339999999999922, -4.98000000000002, -10.139999999999995]"
122,6,"[-3.9000000000000012, 8.060000000000041, -8.25999999999992, -5.00000000000002, -10.199999999999994]"
123,6,"[-3.9000000000000012, 8.080000000000041, -8.279999999999918, -5.1200000000000205, -10.239999999999993]"
124,6,"[-3.9000000000000012, 8.10000000000004, -8.299999999999915, -5.240000000000021, -10.279999999999992]"
125,6,"[-3.9000000000000012, 8.12000000000004, -8.319999999999913, -5.360000000000021, -10.319999999999991]"
126,6,"[-3.9000000000000012, 8.30000000000004, -8.239999999999911, -5.380000000000021, -10.37999999999999]"
127,6,"[-3.9000000000000012, 8.32000000000004, -8.25999999999991, -5.500000000000021, -10.41999999999999]"
128,6,"[-3.9000000000000012, 8.380000000000038, -8.179999999999907, -5.500000000000021, -10.39999999999999]"
129,6,"[-3.9000000000000012, 8.620000000000037, -8.159999999999906, -5.360000000000022, -10.37999999999999]"
130,6,"[-3.9000000000000012, 8.720000000000036, -8.239999999999904, -5.2800000000000225, -10.459999999999988]"
131,6,"[-3.9000000000000012, 8.820000000000038, -8.319999999999903, -5.200000000000022, -10.539999999999987]"
132,6,"[-3.9000000000000012, 8.98000000000004, -8.3599999999999, -5.060000000000023, -10.559999999999986]"
133,7,"[-4.100000000000001, 8.26000000000004, -8.7999999999999, -5.140000000000023, -10.559999999999986]"
134,6,"[-4.100000000000001, 8.44000000000004, -8.719999999999898, -5.160000000000023, -10.619999999999985]"
135,6,"[-4.100000000000001, 8.46000000000004, -8.739999999999895, -5.280000000000023, -10.659999999999984]"
136,6,"[-4.100000000000001, 8.64000000000004, -8.659999999999894, -5.300000000000024, -10.719999999999983]"
137,6,"[-4.100000000000001, 8.62000000000004, -8.779999999999891, -5.420000000000024, -10.759999999999982]"
138,6,"[-4.100000000000001, 8.80000000000004, -8.69999999999989, -5.440000000000024, -10.81999999999998]"
139,6,"[-4.100000000000001, 8.78000000000004, -8.819999999999887, -5.5600000000000245, -10.85999999999998]"
140,6,"[-4.100000000000001, 8.96000000000004, -8.739999999999885, -5.580000000000025, -10.919999999999979]"
141,6,"[-4.100000000000001, 8.98000000000004, -8.759999999999883, -5.580000000000025, -10.899999999999979]"
142,6,"[-4.100000000000001, 8.96000000000004, -8.87999999999988, -5.700000000000024, -10.939999999999978]"
143,6,"[-4.100000000000001, 9.10000000000004, -8.899999999999878, -5.720000000000024, -10.999999999999977]"
144,6,"[-4.100000000000001, 9.12000000000004, -8.919999999999876, -5.720000000000024, -10.979999999999977]"
145,6,"[-4.100000000000001, 9.14000000000004, -8.939999999999873, -5.720000000000024, -10.959999999999978]"
146,6,"[-4.100000000000001, 9.16000000000004, -8.959999999999871, -5.720000000000024, -10.939999999999978]"
147,6,"[-4.100000000000001, 9.180000000000039, -8.979999999999869, -5.720000000000024, -10.919999999999979]"
148,6,"[-4.100000000000001, 9.200000000000038, -8.999999999999867, -5.720000000000024, -10.899999999999979]"
149,6,"[-4.100000000000001, 9.220000000000038, -9.019999999999865, -5.720000000000024, -10.87999999999998]"
150,6,"[-4.100000000000001, 9.240000000000038, -9.039999999999862, -5.720000000000024, -10.85999999999998]"
151,6,"[-4.100000000000001, 9.220000000000038, -9.15999999999986, -5.840000000000023, -10.899999999999979]"
152,6,"[-4.100000000000001, 9.360000000000039, -9.179999999999858, -5.8600000000000225, -10.959999999999978]"
153,6,"[-4.100000000000001, 9.380000000000038, -9.199999999999855, -5.8600000000000225, -10.939999999999978]"
154,6,"[-4.100000000000001, 9.400000000000038, -9.219999999999851, -5.8600000000000225, -10.919999999999979]"
155,6,"[-4.100000000000001, 9.420000000000037, -9.239999999999847, -5.8600000000000225, -10.899999999999979]"
156,6,"[-4.100000000000001, 9.440000000000037, -9.259999999999843, -5.8600000000000225, -10.87999999999998]"
157,6,"[-4.100000000000001, 9.460000000000036, -9.27999999999984, -5.8600000000000225, -10.85999999999998]"
158,6,"[-4.100000000000001, 9.480000000000036, -9.299999999999836, -5.8600000000000225, -10.83999999999998]"
159,6,"[-4.100000000000001, 9.500000000000036, -9.319999999999832, -5.8600000000000225, -10.81999999999998]"
160,6,"[-4.100000000000001, 9.520000000000035, -9.339999999999828, -5.8600000000000225, -10.799999999999981]"
161,6,"[-4.100000000000001, 9.500000000000036, -9.459999999999825, -5.980000000000022, -10.83999999999998]"
162,6,"[-4.100000000000001, 9.640000000000036, -9.479999999999823, -6.000000000000021, -10.899999999999979]"
163,6,"[-4.100000000000001, 9.660000000000036, -9.49999999999982, -6.000000000000021, -10.87999999999998]"
164,6,"[-4.100000000000001, 9.680000000000035, -9.519999999999817, -6.000000000000021, -10.85999999999998]"
165,6,"[-4.100000000000001, 9.700000000000035, -9.539999999999813, -6.000000000000021, -10.83999999999998]"
166,6,"[-4.100000000000001, 9.720000000000034, -9.559999999999809, -6.000000000000021, -10.81999999999998]"
167,6,"[-4.100000000000001, 9.740000000000034, -9.579999999999805, -6.000000000000021, -10.799999999999981]"
168,6,"[-4.100000000000001, 9.760000000000034, -9.5999999999998, -6.000000000000021, -10.779999999999982]"
169,6,"[-4.100000000000001, 9.780000000000033, -9.619999999999797, -6.000000000000021, -10.759999999999982]"
170,6,"[-4.100000000000001, 9.760000000000034, -9.739999999999794, -6.1200000000000205, -10.799999999999981]"
171,6,"[-4.100000000000001, 9.900000000000034, -9.759999999999792, -6.14000000000002, -10.85999999999998]"
172,6,"[-4.100000000000001, 9.920000000000034, -9.77999999999979, -6.14000000000002, -10.83999999999998]"
173,8,"[-4.100000000000001, 10.280000000000035, -9.819999999999785, -5.46000000000002, -10.65999999999998]"
174,7,"[-4.300000000000002, 9.360000000000035, -10.499999999999782, -5.54000000000002, -10.63999999999998]"
175,6,"[-4.300000000000002, 9.540000000000035, -10.41999999999978, -5.56000000000002, -10.699999999999978]"
176,6,"[-4.300000000000002, 9.720000000000034, -10.339999999999778, -5.58000000000002, -10.759999999999977]"
177,6,"[-4.300000000000002, 9.680000000000033, -10.379999999999777, -5.760000000000019, -10.859999999999976]"
178,6,"[-4.300000000000002, 9.860000000000035, -10.299999999999775, -5.780000000000019, -10.919999999999975]"
179,6,"[-4.300000000000002, 9.920000000000034, -10.219999999999773, -5.780000000000019, -10.899999999999975]"
180,6,"[-4.300000000000002, 10.040000000000033, -10.23999999999977, -5.640000000000018, -10.879999999999976]"
181,6,"[-4.300000000000002, 10.140000000000034, -10.319999999999768, -5.560000000000018, -10.959999999999974]"
182,7,"[-4.500000000000002, 9.680000000000035, -10.619999999999765, -5.380000000000018, -10.899999999999975]"
183,6,"[-4.500000000000002, 9.740000000000034, -10.539999999999763, -5.3800000000000185, -10.879999999999976]"
184,6,"[-4.500000000000002, 9.700000000000033, -10.579999999999762, -5.560000000000019, -10.979999999999976]"
185,6,"[-4.500000000000002, 9.880000000000035, -10.49999999999976, -5.58000000000002, -11.039999999999974]"
186,6,"[-4.500000000000002, 10.040000000000033, -10.419999999999758, -5.440000000000019, -11.019999999999975]"
187,6,"[-4.500000000000002, 10.140000000000034, -10.499999999999757, -5.360000000000019, -11.099999999999973]"
188,6,"[-4.500000000000002, 10.240000000000036, -10.579999999999755, -5.280000000000019, -11.179999999999971]"
189,7,"[-4.700000000000002, 9.520000000000035, -11.019999999999753, -5.360000000000019, -11.179999999999971]"
190,6,"[-4.700000000000002, 9.780000000000037, -10.79999999999975, -5.360000000000019, -11.259999999999971]"
191,6,"[-4.700000000000002, 9.960000000000036, -10.719999999999748, -5.380000000000019, -11.31999999999997]"
192,6,"[-4.700000000000002, 10.120000000000035, -10.639999999999747, -5.24000000000002, -11.29999999999997]"
193,6,"[-4.700000000000002, 10.220000000000036, -10.719999999999745, -5.16000000000002, -11.379999999999969]"
194,6,"[-4.700000000000002, 10.320000000000038, -10.799999999999743, -5.08000000000002, -11.459999999999967]"
195,7,"[-4.900000000000002, 9.600000000000037, -11.23999999999974, -5.16000000000002, -11.459999999999967]"
